Entity,Code,Year,Learning-adjusted years of schooling,Population (historical),World regions according to WB
Palestine,PSE,2023,8.047291,5409153,Middle East and North Africa (WB)
Panama,PAN,2023,6.4808674,4458719,Latin America and Caribbean (WB)
Papua New Guinea,PNG,2023,5.9989457,10389589,East Asia and Pacific (WB)
Paraguay,PRY,2023,6.976486,6844101,Latin America and Caribbean (WB)
Peru,PER,2023,8.632247,33845565,Latin America and Caribbean (WB)
Philippines,PHL,2023,7.492334,114891152,East Asia and Pacific (WB)
Poland,POL,2023,11.374183,38762796,Europe and Central Asia (WB)
Portugal,PRT,2023,11.310053,10430680,Europe and Central Asia (WB)
Qatar,QAT,2023,8.77822,2979038,Middle East and North Africa (WB)
Romania,ROU,2023,8.369189,19118433,Europe and Central Asia (WB)
Russia,RUS,2023,10.898087,145440454,Europe and Central Asia (WB)
Rwanda,RWA,2023,3.9257712,13954429,Sub-Saharan Africa (WB)
Saint Kitts and Nevis,KNA,2023,8.477751,46743,Latin America and Caribbean (WB)
Saint Lucia,LCA,2023,8.4803295,179241,Latin America and Caribbean (WB)
Saint Vincent and the Grenadines,VCT,2023,7.71073,101286,Latin America and Caribbean (WB)
Samoa,WSM,2023,7.2451687,216630,East Asia and Pacific (WB)
Saudi Arabia,SAU,2023,7.8881774,33264239,Middle East and North Africa (WB)
Senegal,SEN,2023,4.838319,18077527,Sub-Saharan Africa (WB)
Serbia,SRB,2023,9.752607,6773156,Europe and Central Asia (WB)
Seychelles,SYC,2023,9.700825,127910,Sub-Saharan Africa (WB)
Sierra Leone,SLE,2023,4.8547077,8460469,Sub-Saharan Africa (WB)
Singapore,SGP,2023,12.81329,5789037,East Asia and Pacific (WB)
Slovakia,SVK,2023,9.799783,5518008,Europe and Central Asia (WB)
Slovenia,SVN,2023,11.370939,2118353,Europe and Central Asia (WB)
Solomon Islands,SLB,2023,4.675106,799964,East Asia and Pacific (WB)
South Africa,ZAF,2023,5.603404,63212339,Sub-Saharan Africa (WB)
South Korea,KOR,2023,11.684028,51748695,East Asia and Pacific (WB)
South Sudan,SSD,2023,2.5113463,11483321,Sub-Saharan Africa (WB)
Spain,ESP,2023,10.514696,47911535,Europe and Central Asia (WB)
Sri Lanka,LKA,2023,8.462184,22971566,South Asia (WB)
Sudan,SDN,2023,4.301438,50042754,Sub-Saharan Africa (WB)
Sweden,SWE,2023,11.580874,10551441,Europe and Central Asia (WB)
Switzerland,CHE,2023,10.933773,8870520,Europe and Central Asia (WB)
Tajikistan,TJK,2023,6.785475,10389764,Europe and Central Asia (WB)
Tanzania,TZA,2023,4.4849176,66617556,Sub-Saharan Africa (WB)
Thailand,THA,2023,8.68309,71702397,East Asia and Pacific (WB)
Togo,TGO,2023,5.9727387,9304289,Sub-Saharan Africa (WB)
Tonga,TON,2023,7.1402106,104565,East Asia and Pacific (WB)
Trinidad and Tobago,TTO,2023,9.115808,1502887,Latin America and Caribbean (WB)
Tunisia,TUN,2023,6.494052,12200387,Middle East and North Africa (WB)
Turkey,TUR,2023,9.227495,87270451,Europe and Central Asia (WB)
Tuvalu,TUV,2023,5.9977837,9788,East Asia and Pacific (WB)
Uganda,UGA,2023,4.335872,48656550,Sub-Saharan Africa (WB)
Ukraine,UKR,2023,9.874516,37732781,Europe and Central Asia (WB)
United Arab Emirates,ARE,2023,9.645997,10642052,Middle East and North Africa (WB)
United Kingdom,GBR,2023,11.538006,68682907,Europe and Central Asia (WB)
United States,USA,2023,10.55677,343477286,North America (WB)
Uruguay,URY,2023,8.551203,3388029,Latin America and Caribbean (WB)
Uzbekistan,UZB,2023,9.133364,35652264,Europe and Central Asia (WB)
Vanuatu,VUT,2023,5.6242585,320377,East Asia and Pacific (WB)
Vietnam,VNM,2023,10.680542,100352143,East Asia and Pacific (WB)
Yemen,YEM,2023,4.1787615,39390750,Middle East and North Africa (WB)
Zambia,ZMB,2023,5.036293,20723923,Sub-Saharan Africa (WB)
Zimbabwe,ZWE,2023,7.0066104,16340778,Sub-Saharan Africa (WB)
